,algorithm,time,step
0,EXODUS,0.01486509186880929,forward
1,EXODUS,0.014796018600463867,forward
2,EXODUS,0.014851649602254232,forward
3,SLAYER,0.06419039529467387,forward
4,SLAYER,0.06472357871040466,forward
5,SLAYER,0.06452412832350958,forward
6,BPTT,0.1263686361766997,forward
7,BPTT,0.43956920835706925,forward
8,BPTT,0.43828587304978145,forward
9,EXODUS,0.026282526197887603,backward
10,EXODUS,0.026176778097001332,backward
11,EXODUS,0.02624820149134076,backward
12,SLAYER,0.021290150899735707,backward
13,SLAYER,0.02125804764883859,backward
14,SLAYER,0.02124468107072134,backward
15,BPTT,0.23764876713828434,backward
16,BPTT,0.2388761762588743,backward
17,BPTT,0.2393546293652247,backward
18,EXODUS,0.0003342514946347191,reset
19,EXODUS,0.00033349082583472844,reset
20,EXODUS,0.0003383878677610367,reset
21,BPTT,0.00024022753276522197,reset
22,BPTT,0.00023123574635339162,reset
23,BPTT,0.00023172772119915675,reset
