,algorithm,time,step
0,EXODUS,0.00458944833884805,forward
1,EXODUS,0.0046365113581641245,forward
2,EXODUS,0.004577502153687558,forward
3,SLAYER,0.03669062893269426,forward
4,SLAYER,0.036522532721697275,forward
5,SLAYER,0.03640147346561238,forward
6,BPTT,0.11102357718904139,forward
7,BPTT,0.12929943274643463,forward
8,BPTT,0.12954368874178093,forward
9,EXODUS,0.009592642420429294,backward
10,EXODUS,0.009626435627371577,backward
11,EXODUS,0.009586157233028088,backward
12,SLAYER,0.011421133704104665,backward
13,SLAYER,0.011384445933972375,backward
14,SLAYER,0.011345365694013693,backward
15,BPTT,0.1670258035094051,backward
16,BPTT,0.1658001893657749,backward
17,BPTT,0.1654185699204267,backward
18,EXODUS,0.00030684127645977475,reset
19,EXODUS,0.00030912241693270407,reset
20,EXODUS,0.00030278755446611826,reset
21,BPTT,0.00020329891625097242,reset
22,BPTT,0.00022070670531967938,reset
23,BPTT,0.00021189976546723963,reset
